"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Epics","","1","0","42","0","0"
"","Functional Test Positive Cases of Create, Read, Update and Delete Projects","","1","0","41","0","0"
"","Acceptance test of Create, Read, Update and Delete Projects","","0","0","6","0","0"
"","Get account by id","","5","0","2","0","0"
"","Stories Smoke Tests","","0","0","4","0","0"
"","Create crud for Stories of a project","","0","0","2","0","0"
"","Smoke test of Create, Read, Update and Delete Projects","","0","0","6","0","0"
"","Get accounts","","0","0","4","0","0"
"","Create a account membership","","1","0","0","0","0"
"","Stories Acceptance Test","","2","0","3","0","0"
"","Create CRUD for Workspace","","0","0","4","0","0"
"","Create a membership","","0","0","1","0","0"
